action_idx,sensor_ids,sensor_count,has_laser,has_fc4,has_snow_particle_counter,has_radiometer,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,oracle_loss_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_particle,steps_subtype_flux,steps_subtype_thermal,power_mean,peak_max,soc_min,energy_deficit_total,energy_deficit_steps,energy_guard_dropped,warmup_abort_count,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,switches_per_step,duty__met_station_core,duty__radiometer_basic,duty__shielded_thermo_hygro,duty__surface_temp_ir,duty__laser_disdrometer,duty__fc4_flux,receding_action_coverage
5,met_station_core|shielded_thermo_hygro,2,False,False,False,False,0.5846863148811584,0.8081400370701425,0.25035306423870224,1.3810806523780434,1.2289816150177828,0.23010460669316615,49,741,591,1.04,1.24,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
1,met_station_core,1,False,False,False,False,0.5856536249888854,0.8093431245246976,0.25096760238979904,1.376335620880127,1.2305863277330573,0.23107539403509167,49,741,591,0.52,0.62,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
11,met_station_core|radiometer_basic|surface_temp_ir,3,False,False,False,True,0.5913190746101059,0.8214499513274038,0.2469954118294034,1.3523779365481163,1.2827414668764663,0.19243015136487795,49,741,591,1.5999999999999999,1.94,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,
6,radiometer_basic|shielded_thermo_hygro,2,False,False,False,True,0.5915325188058583,0.7934708636656004,0.2893907482193971,1.2580037044019114,1.1956154037865228,0.25251219459445345,49,741,591,1.0199999999999998,1.22,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
21,radiometer_basic|shielded_thermo_hygro|laser_disdrometer,3,True,False,False,True,0.5941317108582653,0.7977417283553218,0.28948877026949515,1.0414864676339286,1.2164661027239723,0.2504024466408287,49,741,591,1.7200000000000002,2.1,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
13,met_station_core|shielded_thermo_hygro|surface_temp_ir,3,False,False,False,False,0.6127281361437377,0.8445132125430699,0.26592944653650274,1.3234333365547413,1.3200754596073778,0.19937180748521374,49,741,591,1.6200000000000006,1.96,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,
9,met_station_core|surface_temp_ir,2,False,False,False,False,0.6129053690755326,0.8449826315584863,0.2656695083074296,1.34678523151242,1.319673750353487,0.1992114562345842,49,741,591,1.0999999999999999,1.3399999999999999,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,
4,shielded_thermo_hygro,1,False,False,False,False,0.6220059303870786,0.8296934593088553,0.311262184513868,1.3071275754850737,1.2474186199839137,0.2650263839087712,49,741,591,0.52,0.62,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
32,radiometer_basic|surface_temp_ir|fc4_flux,3,False,True,False,True,0.6283031007203843,0.8156473861871035,0.3479970788032236,1.2326094909590117,1.1483047886798095,0.36499213095748084,49,741,591,1.6999999999999997,2.1,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
19,shielded_thermo_hygro|laser_disdrometer,2,True,False,False,False,0.6313886092943398,0.8456053908787544,0.3108757432400857,1.0376799362046378,1.2920212455485995,0.26223694985691465,49,741,591,1.22,1.5,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
