action_idx,sensor_ids,sensor_count,has_laser,has_fc4,has_snow_particle_counter,has_radiometer,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,oracle_loss_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_particle,steps_subtype_flux,steps_subtype_thermal,power_mean,peak_max,soc_min,energy_deficit_total,energy_deficit_steps,energy_guard_dropped,warmup_abort_count,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,switches_per_step,duty__met_station_core,duty__radiometer_basic,duty__shielded_thermo_hygro,duty__surface_temp_ir,duty__laser_disdrometer,duty__fc4_flux,subtype_particle_steps,subtype_flux_steps,subtype_thermal_steps
10,shielded_thermo_hygro|surface_temp_ir,2,False,False,False,False,0.14182561763057797,0.1631463547710895,0.1152682082099408,0.09663361445743235,0.2666490760554249,0.1923717781427404,597.0,288.0,393.0,1.0999999999999999,1.3399999999999999,0.0,0.0,0,0,0,2,4,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,
-3022,dynamic:subtype_auto_c0_p1_f1_t0_lead8,4,False,True,False,True,0.1461714656155285,0.17424333673728418,0.11120474895509595,0.10914870193453981,0.2582369231915271,0.1953290019885304,,,,1.1429600694444444,1.5,0.0,0.0,0,0,0,1,2,3,0.43642633762388117,0.007523148148148148,0.0,0.3042534722222222,0.2052951388888889,1.0,0.0,0.4904513888888889,701.0,352.0,473.0
-3018,dynamic:subtype_auto_c0_p0_f1_t0_lead8,3,False,True,False,False,0.1473795348000648,0.17782246814064204,0.10945938976180193,0.11605907375054081,0.2601118741599335,0.19136000124552538,,,,1.1794704861111112,1.5,0.0,0.0,0,0,0,1,3,2,0.24413092939071604,0.003761574074074074,0.0,0.0,0.2052951388888889,1.0,0.0,0.7947048611111112,701.0,352.0,473.0
-3006,dynamic:subtype_auto_c0_p1_f1_t0_lead0,4,False,True,False,True,0.15047769199009053,0.18094627201522182,0.11252560108159369,0.10815427155925002,0.2735660778384449,0.2236493768374277,,,,1.1518489583333331,1.5,0.0,0.0,0,0,0,1,2,3,0.4116847829287783,0.007523148148148148,0.0,0.2591145833333333,0.17057291666666666,1.0,0.0,0.5703125,597.0,288.0,393.0
-3002,dynamic:subtype_auto_c0_p0_f1_t0_lead0,3,False,True,False,False,0.15285523708250062,0.18726615100539346,0.10999251973994992,0.11869979763974496,0.276288981264871,0.22618609463023473,,,,1.182942708333333,1.5,0.0,0.0,0,0,0,1,3,2,0.21967123098749072,0.003761574074074074,0.0,0.0,0.17057291666666666,1.0,0.0,0.8294270833333334,597.0,288.0,393.0
-3026,dynamic:subtype_auto_c1_p0_f1_t0_lead8,4,True,True,False,False,0.15578181032954794,0.1996604590684012,0.1011259496197482,0.12955194660402652,0.26201811302664946,0.22906738148714725,,,,1.1862239583333332,1.5,0.0,0.0,0,0,0,0,2,4,0.6390803941776482,0.01591435185185185,0.0,0.0,0.54296875,0.6623263888888888,0.3376736111111111,0.45703125,701.0,352.0,473.0
4,shielded_thermo_hygro,1,False,False,False,False,0.15907326150045265,0.1759956396521537,0.13799450976763203,0.07596539081366019,0.2625659783112092,0.26738272030996607,597.0,288.0,393.0,0.52,0.62,0.0,0.0,0,0,0,1,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,
-3030,dynamic:subtype_auto_c1_p1_f1_t0_lead8,5,True,True,False,True,0.15979171704465342,0.2038600410178817,0.1048995942008077,0.11877097535118482,0.2665777980900285,0.2577255141249923,,,,1.1497135416666664,1.5,0.0,0.0,0,0,0,0,1,5,0.7238321446726089,0.01591435185185185,0.0,0.3042534722222222,0.54296875,0.6623263888888888,0.3376736111111111,0.1527777777777778,701.0,352.0,473.0
14,shielded_thermo_hygro|laser_disdrometer,2,True,False,False,False,0.16096935282257618,0.20710444662294383,0.1035028324747498,0.09940475665993827,0.27437662119821954,0.3209056762869425,597.0,288.0,393.0,1.22,1.5,0.0,0.0,0,0,0,2,4,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
-3020,dynamic:subtype_auto_c0_p1_f0_t0_lead8,5,False,True,False,True,0.1638677575344142,0.19940240490243002,0.11960530204092085,0.12951996955972767,0.2473379468270154,0.2476481722222826,,,,1.1337934027777778,1.5,0.0,0.0,0,0,0,0,1,5,0.6420090908993449,0.009837962962962962,0.1527777777777778,0.3042534722222222,0.2052951388888889,0.8472222222222222,0.0,0.4904513888888889,701.0,352.0,473.0
19,surface_temp_ir|fc4_flux,2,False,True,False,False,0.16532674346025386,0.22969671613675235,0.08514660205619436,0.06799061993882684,0.2589810831963809,0.4513030168209367,597.0,288.0,393.0,1.2,1.5,0.0,0.0,0,0,0,2,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,
5,met_station_core|shielded_thermo_hygro,2,False,False,False,False,0.1659166142433403,0.1909912807301433,0.13468325774223483,0.09282670630894015,0.27038594112834996,0.28152954698784355,597.0,288.0,393.0,1.04,1.24,0.0,0.0,0,0,0,2,4,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,
1,met_station_core,1,False,False,False,False,0.16649006819837572,0.1913996063236946,0.13546239790192588,0.09288013179847343,0.2700745871859706,0.282881691748556,597.0,288.0,393.0,0.52,0.62,0.0,0.0,0,0,0,1,5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
-3014,dynamic:subtype_auto_c1_p1_f1_t0_lead0,5,True,True,False,True,0.16669505267378149,0.2140144436723656,0.10775335511414164,0.13837326135817085,0.2718185216395391,0.28655951081493125,,,,1.1607552083333335,1.5,0.0,0.0,0,0,0,0,1,5,0.7187624416394603,0.01591435185185185,0.0,0.2591145833333333,0.6158854166666666,0.5546875,0.4453125,0.125,597.0,288.0,393.0
-3016,dynamic:subtype_auto_c0_p0_f0_t0_lead8,4,False,True,False,False,0.16880363550040378,0.20841550625312683,0.11946253333473124,0.1412519430914381,0.24979712587611919,0.25228387851417694,,,,1.1703038194444444,1.5,0.0,0.0,0,0,0,0,2,4,0.4497136826661798,0.006076388888888889,0.1527777777777778,0.0,0.2052951388888889,0.8472222222222222,0.0,0.7947048611111112,701.0,352.0,473.0
-3021,dynamic:subtype_auto_c0_p1_f0_t1_lead8,4,False,True,False,True,0.1693156882861836,0.198852074788723,0.13252475071284506,0.14303193211597995,0.24588740908075124,0.2272768317392966,,,,1.1337934027777778,1.5,0.0,0.0,0,0,0,0,2,4,0.5739975711604894,0.009837962962962962,0.3580729166666667,0.3042534722222222,0.0,0.8472222222222222,0.0,0.4904513888888889,701.0,352.0,473.0
-3010,dynamic:subtype_auto_c1_p0_f1_t0_lead0,4,True,True,False,False,0.16987815170917506,0.2257702394369669,0.10025818278508344,0.14187794198068343,0.2746748697892245,0.31737117592539194,,,,1.1918489583333334,1.5,0.0,0.0,0,0,0,0,2,4,0.6507498570561904,0.01591435185185185,0.0,0.0,0.6158854166666666,0.5546875,0.4453125,0.3841145833333333,597.0,288.0,393.0
-3023,dynamic:subtype_auto_c0_p1_f1_t1_lead8,4,False,True,False,True,0.17005489159540352,0.20200472684061163,0.13025772839523198,0.13691119383356284,0.26417430209800263,0.23273064144916564,,,,1.1429600694444444,1.5,0.0,0.0,0,0,0,1,2,3,0.43642633762388117,0.007523148148148148,0.2052951388888889,0.3042534722222222,0.0,1.0,0.0,0.4904513888888889,701.0,352.0,473.0
-3019,dynamic:subtype_auto_c0_p0_f1_t1_lead8,3,False,True,False,False,0.17066255385402151,0.20435220768882167,0.12869824820014758,0.1384465700910877,0.2681660545905205,0.2319735949799954,,,,1.1794704861111112,1.5,0.0,0.0,0,0,0,1,3,2,0.24413092939071604,0.003761574074074074,0.2052951388888889,0.0,0.0,1.0,0.0,0.7947048611111112,701.0,352.0,473.0
6,radiometer_basic|shielded_thermo_hygro,2,False,False,False,True,0.1720705179209795,0.19129483853882187,0.14812443434436884,0.0824032357115442,0.2690464430229945,0.3021462713072015,597.0,288.0,393.0,1.0199999999999998,1.22,0.0,0.0,0,0,0,2,4,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,
